away_final_score,away_team,g_id,home_final_score,home_team
6,hou,201500200.0,3,sea
2,lan,201500201.0,6,sfn
3,mia,201500202.0,7,phi
5,min,201500203.0,6,kca
5,nya,201500204.0,2,det
1,oak,201500205.0,14,ana
7,sdn,201500206.0,6,col
1,sln,201500207.0,2,was
7,tex,201500208.0,1,ari
2,atl,201500209.0,3,nyn
2,bal,201500210.0,4,tor
5,bos,201500211.0,7,tba
3,chn,201500212.0,4,pit
2,cin,201500213.0,1,mil
0,cle,201500214.0,6,cha
2,hou,201500215.0,3,sea
2,lan,201500216.0,3,sfn
6,mia,201500217.0,1,phi
3,min,201500218.0,0,kca
13,nya,201500219.0,4,det
9,oak,201500220.0,2,ana
4,sdn,201500221.0,5,col
7,sln,201500222.0,5,was
5,tex,201500223.0,8,ari
3,atl,201500224.0,6,nyn
6,bal,201500225.0,7,tor
1,bos,201500226.0,2,tba
4,chn,201500227.0,5,pit
2,cin,201500228.0,4,mil
3,kca,201500229.0,2,cha
2,lan,201500230.0,3,sfn
9,mia,201500231.0,1,phi
2,nya,201500232.0,1,det
0,oak,201500233.0,2,ana
1,sdn,201500234.0,2,col
4,sln,201500235.0,1,was
0,atl,201500236.0,1,phi
7,bos,201500237.0,5,bal
7,chn,201500238.0,3,cin
13,cle,201500239.0,1,det
5,hou,201500240.0,4,oak
2,kca,201500241.0,3,cha
3,lan,201500242.0,0,sdn
0,min,201500243.0,2,sea
1,nyn,201500244.0,6,nya
4,pit,201500245.0,1,ari
4,sfn,201500246.0,6,col
3,sln,201500247.0,0,mil
2,tex,201500248.0,3,ana
3,tor,201500249.0,12,tba
2,was,201500250.0,3,mia
5,atl,201500251.0,2,phi
4,bos,201500252.0,5,bal
1,cle,201500253.0,4,det
9,hou,201500254.0,3,oak
11,lan,201500255.0,8,sdn
8,min,201500256.0,5,sea
8,nyn,201500257.0,2,nya
2,pit,201500258.0,1,ari
5,sfn,201500259.0,4,col
5,sln,201500260.0,3,mil
1,tex,201500261.0,4,ana
2,tor,201500262.0,4,tba
0,was,201500263.0,8,mia
4,atl,201500264.0,5,phi
7,bos,201500265.0,18,bal
5,chn,201500266.0,2,cin
6,cle,201500267.0,8,det
7,hou,201500268.0,6,oak
3,kca,201500269.0,5,cha
1,lan,201500270.0,3,sdn
4,min,201500271.0,2,sea
4,nyn,201500272.0,6,nya
8,pit,201500273.0,0,ari
3,sln,201500274.0,6,mil
5,tex,201500275.0,4,ana
1,tor,201500276.0,5,tba
2,was,201500277.0,6,mia
5,col,201500278.0,4,ari
5,det,201500279.0,4,min
9,hou,201500280.0,4,sdn
6,kca,201500281.0,2,cle
6,mil,201500282.0,9,cin
3,nyn,201500283.0,1,mia
4,phi,201500284.0,1,sln
0,pit,201500285.0,4,chn
3,sea,201500286.0,1,tex
3,sfn,201500287.0,8,lan
1,tba,201500288.0,4,nya
5,tor,201500289.0,6,bos
4,was,201500290.0,8,atl
2,ana,201500291.0,6,oak
5,col,201500292.0,12,ari
2,det,201500293.0,3,min
14,hou,201500294.0,3,sdn
11,kca,201500295.0,5,cle
2,mil,201500296.0,4,cin
3,nyn,201500297.0,4,mia
5,phi,201500298.0,11,sln
2,pit,201500299.0,6,chn
2,sea,201500300.0,1,tex
2,sfn,201500301.0,1,lan
2,tba,201500302.0,4,nya
11,tor,201500303.0,8,bos
13,was,201500304.0,12,atl
6,ana,201500305.0,3,oak
2,cha,201500306.0,8,bal
1,col,201500307.0,9,ari
10,det,201500308.0,7,min
7,hou,201500309.0,2,sdn
5,kca,201500310.0,7,cle
8,mil,201500311.0,3,cin
3,nyn,201500312.0,7,mia
2,phi,201500313.0,5,sln
8,pit,201500314.0,1,chn
5,sea,201500315.0,2,tex
3,sfn,201500316.0,7,lan
